district,mandal,village,lat,long,date,value
KAMAREDDY,Pedda Kodapgal,PITLAM ,77.84,18.23,01/05/23,13.88
KAMAREDDY,Rajampet,SIDDAPOOR ,78.24,18.17,01/05/23,16.94
KAMAREDDY,Ramareddy,DEVANPALLE ,78.44,18.33,01/05/23,11.02
KAMAREDDY,Sadasivanagar,PADMAJI WADA ,78.24,18.43,01/05/23,16.17
KAMAREDDY,Sadasivanagar,UTNOOR ,78.19,18.44,01/05/23,10.9
KAMAREDDY,Tadwai,KANKAL,78.22,18.34,01/05/23,34.2
KAMAREDDY,Yellareddy,THIMMAREDDY ,78,18.24,01/05/23,13.68
KAMAREDDY,Yellareddy,YELLAREDDY ,78.01,18.2,01/05/23,13.1
KARIMNAGAR,Chigurumamidi,Bommanapalli,79.23,18.21,01/05/23,
KARIMNAGAR,Chigurumamidi,Chigurumamidi,79.15,18.26,01/05/23,9.85
KARIMNAGAR,Chigurumamidi,Ramancha,79.2,18.24,01/05/23,9.52
KARIMNAGAR,Choppadandi,Rukmapur,79.15,18.53,01/05/23,12.5
KARIMNAGAR,Ellandakunta,Illanthukunta ,79.51,18.3,01/05/23,
KARIMNAGAR,Gangadhara,Burugupally,79.03,18.64,01/05/23,9.24
KARIMNAGAR,Gangadhara,Gangadhara,79.01,18.58,01/05/23,21.23
KARIMNAGAR,Gannervaram,Mylaram,79.078,18.368,01/05/23,5.98
KARIMNAGAR,Huzurabad,Huzurabad,79.41,18.19,01/05/23,5.26
KARIMNAGAR,Jammikunta,Vavilala,79.55,18.4,01/05/23,3.91
KARIMNAGAR,Karimnagar (Rural-I),Nagnur,79.14,18.5,01/05/23,3.8
KARIMNAGAR,Karimnagar,Karimnagar,79.13,18.44,01/05/23,8.55
KARIMNAGAR,Shankarapatnam,Thadikal,79.29,18.31,01/05/23,4.65
KARIMNAGAR,Manakondur,Laxmipur,79.29,18.45,01/05/23,1.57
KARIMNAGAR,Ramadugu,Gundi,79.09,18.62,01/05/23,6.9
KARIMNAGAR,V_Saidapur,Saidapur,79.31,18.21,01/05/23,6.04
KARIMNAGAR,Thimmapur,Alugunur,79.15,18.4,01/05/23,6.05
KARIMNAGAR,Thimmapur,Nedunur,79.14,18.31,01/05/23,9.92
KARIMNAGAR,Veenavanka,Veenavanka,79.42,18.35,01/05/23,4.61
KHAMMAM,Bonakal,Mustikunta,80.22,17.04,01/05/23,2.68
KHAMMAM,Bonakal,Pedabeeravalli,80.3,17.05,01/05/23,1.93
KHAMMAM,Chinthakani,Pandillapalli,80.18,17.15,01/05/23,2.9
KHAMMAM,Enkuru,Enkoor,80.44,17.33,01/05/23,7.86
KHAMMAM,Enkuru,Timmaraopeta,80.37,17.37,01/05/23,3.81
KHAMMAM,Kalluru,Kallur,80.55,17.21,01/05/23,4.9
KHAMMAM,Kamepalle,Kothalingala,80.24,17.43,01/05/23,9.51
KHAMMAM,Kamepalle,Ootkuru,80.3,17.46,01/05/23,10.29
KHAMMAM,Khammam_Rural,Theerthala,80.14,17.37,01/05/23,4.75
KHAMMAM,Khammam_Rural,M.V.Palem,80.1,17.3,01/05/23,5.08
KHAMMAM,Khammam_Urban,Khammam I,80.13,17.23,01/05/23,1.8
KHAMMAM,Khammam_Urban,Khammam-II,80.14,17.25,01/05/23,1.18
KHAMMAM,Konijerla,Gubbagurthi,80.36,17.28,01/05/23,2.49
KHAMMAM,Konijerla,Konijerla,80.29,17.22,01/05/23,2.2
KHAMMAM,Kusumanchi,Jakkapally,79.97,17.14,01/05/23,1.93
KHAMMAM,Kusumanchi,Kusumanchi,79.96,17.22,01/05/23,11.4
KHAMMAM,Madhira,Madhira,80.37,16.92,01/05/23,7.08
KHAMMAM,Madhira,Nidhanapuram,80.42,16.92,01/05/23,7.98
KHAMMAM,Mudigonda,Banapuram,80.12,17.06,01/05/23,2.19
KHAMMAM,Mudigonda,Mudigonda,80.1,17.19,01/05/23,2.46
KHAMMAM,Nelakondapalle,Bodulabanda,80.02,17.09,01/05/23,2.82
KHAMMAM,Nelakondapalle,Buddaram,80.06,17.02,01/05/23,3.47
KHAMMAM,Penuballi,Lankapalli,80.74,17.2,01/05/23,12.47
KHAMMAM,Penuballi,Lingagudem,80.66,17.26,01/05/23,
KHAMMAM,Penuballi,Penuballi,80.67,17.21,01/05/23,3.58
KHAMMAM,Penuballi,Tallapenta,80.62,17.23,01/05/23,3.75
KHAMMAM,Raghunadhapalem,Erlapudi,80.27,17.32,01/05/23,9.86
KHAMMAM,Sathupalle,Cherukupalli,80.78,17.26,01/05/23,3.74
KHAMMAM,Sathupalle,Prakashnagar,80.89,17.19,01/05/23,39.24
KHAMMAM,Singareni,Madharam,80.23,17.54,01/05/23,5.22
KHAMMAM,Thallada,Anjanapuram,80.46,17.21,01/05/23,3.71
KHAMMAM,Thallada,Laxmipuram,80.48,17.17,01/05/23,3.35
KHAMMAM,Thirumalayapalem,Kakaravai,79.84,17.31,01/05/23,4.25
KHAMMAM,Thirumalayapalem,Tippareddigudem,79.98,17.37,01/05/23,4.57
KHAMMAM,Thirumalayapalem,Bachode,79.9,17.3,01/05/23,4.63
KHAMMAM,Thirumalayapalem,Tirumalayapalem,80.05,17.32,01/05/23,5.1
KHAMMAM,Vemsoor,Vemsur,80.81,17.14,01/05/23,3.5
KHAMMAM,Vemsoor,Kallurigudem,80.75,17.11,01/05/23,9.21
KHAMMAM,Vemsoor,Kandukuru,80.84,17.07,01/05/23,5.47
KHAMMAM,Wyra,Siripuram,80.48,16.86,01/05/23,2.88
KHAMMAM,Yerrupalem,Banigandlapadu,80.48,16.86,01/05/23,13.12
KHAMMAM,Yerrupalem,Bheemavaram,80.51,16.94,01/05/23,3.74
KUMURAM BHEEM,Asifabad,Asifabad,79.29,19.36,01/05/23,18.51
